Path ID,ADV [Corrected]
106-131,5.44
193-103,27.39
17-165,3.53
131-176,49.27
75-3102,23.15
150-179,66.09
125-104,26.29
176-3102,1073.79
115-131,7.56
106-127,32.42
191-47,6.59
149-185,16.07
192-3024,5.17
104-47,3.57
106-88,28.23
64-26,56.75
68-47,5.49
103-193,10.55
194-3081,219.21
44-142,2.8
74-18,25.7
165-152,20.37
149-26,1.02
40-16,48.77
35-130,2.09
158-103,0.93
181-85,371.27
75-136,4.33
156-131,11.91
66-103,30.86
149-139,31.18
37-179,1.08
21-75,7.13
177-86,34.02
69-158,1.45
107-34,1.43
28-122,227.81
125-11,10.3
26-139,6.13
136-16,5.41
29-179,9.78
20-54,34.22
131-11,17.49
194-86,432.95
60-74,10.72
191-129,28.53
146-18,18.07
40-130,7.51
24-75,62.7
41-68,5.52
181-34,63.39
156-166,75.11
149-171,4.46
111-139,8.47
40-43,34.73
40-18,31.05
75-176,46.19
176-100,517.06
66-3101,27.55
190-68,13.86
60-176,11.83
29-146,15.06
34-130,5.83
135-3081,13.92
85-70,540.96
190-108,17.7
31-54,76.97
142-47,8.81
150-43,14.02
76-88,174.75
158-176,6.23
20-16,81.77
190-136,5.56
149-43,0.68
11-111,3.23
145-136,12.04
150-191,124.54
127-117,327.45
68-70,108.16
190-179,11.29
11-171,20.82
117-76,93.94
37-27,2.01
156-41,12.75
191-18,64.05
27-81,0.9
18-139,4.46
122-192,58.77
54-192,4.93
146-31,25.69
29-40,27.79
135-54,26.62
192-115,68.53
44-166,4.45
60-192,3.68
181-152,380.65
171-103,161.69
181-108,225.07
70-179,130.26
129-108,31.01
110-31,19.93
37-66,9.26
20-166,4.71
150-181,205.06
75-86,68.66
85-104,233.21
142-28,83.22
181-171,421.62
194-156,165.03
86-27,8.72
68-179,34.75
16-166,6.51
171-104,76.39
26-35,12.23
29-29,205.81
125-54,15.72
75-31,48.23
171-40,46.75
192-107,15.07
171-108,112.17
171-100,127.48
194-136,24.4
181-114,189.47
131-3071,23.24
116-3114,9.95
171-131,72.34
28-135,11.15
107-3114,4.16
114-139,12.22
194-43,23.17
116-142,15.05
185-125,303.96
177-150,13.16
136-81,6.43
171-75,168.32
75-3081,16.88
37-86,3.98
75-3071,25.83
64-37,60.7
88-3102,555.13
192-41,2.82
171-122,228.34
142-125,28.69
88-20,262.36
106-194,29.47
166-110,3.14
106-192,12.91
152-156,138.31
190-44,5.04
114-130,24.64
18-145,15.95
20-69,27.96
69-179,4.33
60-165,9.56
114-47,2.84
70-18,174.19
116-149,10.25
191-81,182.51
29-130,22.44
185-3102,233.28
70-191,262.23
54-24,26.69
125-60,5.41
34-26,6.11
54-37,23.44
70-145,214.99
100-3101,161.77
139-193,6.94
176-3118,1052.3
86-29,113.17
26-3118,30.66
146-27,0.91
54-115,14.45
108-75,17.4
44-81,8.97
68-3065,23.51
60-28,410.4
16-139,22.3
88-27,18.62
152-76,23.21
106-146,6.52
69-44,3.9
68-76,23.31
136-37,0.72
179-116,4.32
100-41,11.41
75-152,12.5
16-29,67.66
125-3101,60.66
66-146,21.84
116-47,0.85
41-25,0.6
34-47,0.58
166-75,16.11
Nov-65,2.7
130-116,2.13
110-166,5.13
66-145,28.07
117-34,22.6
40-107,15.99
131-3114,1.26
181-3065,166.1
41-130,3.66
66-117,46.03
Nov-69,41.37
74-158,8.49
177-20,5.38
21-3101,14.95
129-24,35.17
136-131,11.9
64-31,154.08
69-41,3.11
54-179,2.25
165-142,50.48
16-3102,15.32
76-104,71.94
75-150,17.16
193-100,54.83
74-166,13.81
150-75,39.28
131-44,6.73
192-16,42.05
190-43,3.38
171-3117,38.97
116-129,3.35
100-3102,171.67
66-115,18.37
85-29,211.02
35-47,0.84
106-116,10.42
166-34,6.43
149-18,2.87
150-69,14
156-100,56.59
122-34,78.57
104-86,43.2
41-16,17.6
88-70,883.64
135-3101,48.12
179-47,0.72
193-27,0.53
28-37,67.75
60-66,242.72
60-25,10.03
26-171,7.66
135-139,36.55
35-40,4.5
43-64,13.98
60-145,22.44
28-104,14.42
40-179,3.01
69-117,37.19
60-117,20.46
114-60,5.1
34-88,11.61
76-129,4.74
108-35,5.75
117-179,10.4
40-131,2.99
150-103,62.82
11-181,88.55
41-3071,10.01
194-66,86.18
29-145,14.47
37-29,13.74
192-21,25.05
26-3114,0.65
135-35,11.09
103-11,30.45
115-41,10.81
117-171,49.61
125-129,13.03
74-130,35.48
191-114,36.68
131-41,4.95
26-75,46.39
81-86,643.58
66-166,10.38
125-69,61.15
185-3071,51.25
117-44,20.13
16-85,68.71
127-185,442.3
115-26,19.05
166-64,19.96
29-166,20.25
54-146,5.47
20-3118,4.27
41-111,1.8
74-3117,32.33
125-21,15.78
117-85,176.37
60-43,164.67
70-125,231.47
104-136,7.84
116-81,38.49
17-3065,5.27
176-64,463.67
104-40,22.75
43-107,5.49
11-129,23.94
107-179,1.61
192-166,21.11
114-122,77.31
26-41,37.47
85-66,195.57
150-66,66.11
107-127,8.58
171-130,49.95
145-70,19.23
29-129,7.14
76-139,11.87
131-35,6.88
149-116,0.81
103-117,64.08
69-20,18.38
107-100,73.7
17-142,21.42
81-69,78.63
21-16,37.24
114-76,75.4
136-127,16.99
18-3117,16.02
26-34,4.98
191-27,1.84
24-64,377.08
24-74,47.31
114-117,61.14
85-191,568.8
190-193,22.59
34-16,21.48
107-136,2.18
76-86,297.95
185-26,543.15
54-3101,13.08
131-107,6.91
74-152,19.85
43-139,4.33
181-66,400.19
146-69,17.36
192-35,4.42
131-122,126.53
17-135,2.71
81-136,47.59
139-3065,0.91
191-185,262.34
31-47,5.62
136-11,2.2
115-165,12.6
54-41,9.18
142-100,53.39
150-3112,29.36
139-191,4.81
171-107,98.57
136-3118,0.83
64-179,27.79
179-16,11.47
125-100,59.52
139-131,13.08
64-41,46.88
166-74,5.95
41-3118,11.55
75-64,45.19
54-158,4.1
24-17,288.28
179-149,7.02
28-156,24.15
41-75,9.08
150-85,33.05
156-37,15.33
142-66,31.03
116-156,6.26
171-17,80.27
122-43,139.93
69-85,24.53
20-40,36.83
26-181,45.53
116-150,19.19
35-110,2.16
179-31,27.83
181-35,140.92
85-11,354.44
28-76,25.07
190-122,24.18
44-129,6.95
115-88,187.63
21-28,47.25
129-11,20.19
139-3024,2.68
100-104,178.01
149-88,14.91
179-193,14.7
107-145,5.29
40-3102,20.89
185-27,29.34
127-142,175.18
171-176,242.34
69-146,10.49
194-68,93.21
69-24,8.31
127-3102,172.96
29-16,140.54
149-44,1.23
100-11,41.97
60-3102,0.53
60-146,18.32
70-158,40.41
40-81,27.54
181-103,437.06
74-142,95.09
66-76,34.47
107-74,13.56
125-88,34.19
108-20,26.16
100-163,2.44
108-11,21.62
181-75,310.89
28-125,23.11
108-43,14.38
130-193,6.34
191-191,263.66
29-194,51.3
166-37,4.83
142-41,23.02
75-192,18.02
Nov-88,116.21
111-3071,23.93
111-125,17.22
177-35,4.39
125-171,8.67
103-81,47.52
28-41,47.3
191-70,155.6
107-40,2.42
86-127,167.88
127-3112,221.73
108-129,10.45
142-3081,37.78
107-69,10.09
17-54,44.04
69-125,20.68
40-136,4.38
35-129,4.22
194-47,12.36
31-27,7.61
122-131,168.48
139-75,13.3
192-192,50.15
81-122,672.87
17-44,19.31
131-37,4.15
146-85,25.84
103-185,144.14
88-3114,66.11
106-41,8.45
194-54,35.7
107-60,0.9
129-3071,10.72
76-27,2.6
171-54,47.59
152-158,59.17
179-64,17.45
156-146,32.02
129-3112,8.37
29-25,1.47
179-54,6.35
117-66,49.23
40-192,5.26
191-142,138.88
75-26,13.34
116-75,10.05
166-146,6.63
16-115,42.05
127-100,479.71
69-34,3.14
191-108,45.54
146-171,25.11
125-179,7.64
41-37,16.85
21-179,5.76
18-107,17.22
16-11,45.8
54-81,23.63
107-152,1.71
158-88,2.45
108-21,45.41
115-81,107.95
190-40,6.23
192-116,4.96
44-145,2.98
139-177,5.44
191-104,27.67
107-75,6.68
27-185,0.7
190-28,14.74
171-190,130.04
75-139,5.95
34-156,13.35
193-20,13.95
37-150,6.85
26-88,38.77
146-76,17.95
191-131,40.18
127-16,52.5
190-54,11.82
115-40,9.46
29-114,23.28
18-179,4
43-34,2.45
185-191,168.18
41-181,11.01
106-152,12.29
136-21,5.76
34-127,11.5
31-145,28.47
26-142,22.51
11-176,79.1
111-192,5.67
26-131,7.46
29-44,10.66
60-60,86.71
81-3118,392.57
150-163,217.3
193-70,28.55
103-145,15.97
181-26,239.31
152-70,33.71
117-3101,49.18
24-166,10.28
28-24,113
104-3102,23.47
16-26,48.53
150-115,46.93
192-125,16.86
125-116,8.36
156-3101,10.25
18-129,2.66
18-43,26.8
135-104,44.59
193-44,4.42
111-16,19.02
135-136,15.86
16-171,10.63
35-146,1.97
136-130,15.19
54-34,17.33
44-3081,1.57
146-114,29.76
191-194,235.19
191-54,16.9
136-31,7.49
54-29,11.86
111-194,28.58
11-130,22.85
88-130,152.53
156-108,38.35
11-135,47.34
41-41,45.27
193-81,66.26
150-3114,4.28
34-76,2.16
177-81,24.24
37-177,0.82
145-16,5.21
130-16,33.19
40-69,8.7
88-34,67.53
60-131,13.19
127-60,25.78
177-24,6.26
139-17,8.64
146-17,26.89
37-125,5.78
88-3065,172.57
139-3102,2.89
11-145,79.76
177-115,42.34
135-158,23.47
60-163,2.1
88-3101,418.46
17-111,13.51
16-179,10.83
193-76,9.99
152-74,24.84
20-158,2.87
176-17,783.68
145-40,4.42
107-20,4.23
85-131,83.7
21-145,3.63
70-103,324.2
171-16,166.52
107-3118,8.31
27-26,0.63
171-185,151.81
88-68,749.77
88-111,155.1
86-44,53.57
110-3102,14.95
135-111,16
194-190,314.42
185-3065,100.59
149-74,1.08
69-171,4.53
86-111,66.04
131-3112,15.93
142-3114,4.21
130-60,3.54
142-60,21.87
66-28,39.63
68-139,54.59
41-74,8.88
66-149,20.89
76-191,57.84
68-86,201.13
70-194,223.43
34-31,22.97
181-3117,568.25
31-158,3.24
146-158,20.82
35-111,1.42
110-111,32.21
110-146,8.61
185-81,128.07
70-136,54.99
192-86,77.36
35-125,2.42
103-3102,73.75
18-150,13.37
142-3118,33.12
192-70,43.63
24-146,23.64
142-86,172.28
106-158,1.88
18-110,9.88
149-104,1.39
40-142,16.02
68-34,25.46
181-179,445.01
104-127,20.31
136-117,5.68
139-70,10.98
191-166,83.7
152-3081,28.73
108-110,30.19
129-122,29.86
150-25,0.52
166-16,14.51
176-3065,485.65
69-40,5.22
116-88,26.75
181-28,218.72
103-41,16.27
41-103,9.27
85-110,120.59
114-69,44.37
129-135,7.56
31-68,104.92
179-37,3.75
117-81,191.04
26-179,8.95
35-54,8.66
85-44,129.44
25-26,1.95
115-149,21.57
122-146,262.73
125-131,14.93
40-127,13.68
139-3118,3.25
191-3065,9.25
103-35,3.39
16-27,3.66
29-165,25.11
104-130,18.42
177-145,7.74
171-136,59.42
76-41,13.9
Nov-70,50.72
192-152,19.93
69-64,44.75
28-64,167.46
127-76,327.92
135-17,20.47
16-149,6.4
185-116,64.44
43-37,7.64
166-111,4.84
166-104,6.54
54-88,27.97
68-3118,29.28
26-29,93.46
24-3101,36.37
129-127,18.15
20-27,3.1
24-70,128.41
150-108,23.42
116-130,8.37
125-20,15.42
54-108,14.29
145-110,2.83
150-100,21.98
158-66,1.19
163-163,7.09
64-74,35.56
135-27,1
28-116,14.69
108-27,1.85
116-3065,11.58
111-177,3.79
68-35,24.8
88-31,393.11
100-191,119.25
108-100,59.22
130-3112,17.12
69-149,5.72
60-171,8.95
43-3112,1.99
191-171,113.39
111-146,6.12
114-3117,130
28-166,22.97
114-149,17.01
129-3102,7.64
185-130,243.73
44-28,9.35
171-163,34.37
74-156,18.52
68-25,4.85
142-136,45.9
76-166,13.24
26-43,19.18
70-114,444.4
66-26,27.03
34-60,1.76
145-31,10.77
68-3024,13.97
70-190,237.19
54-156,11.09
18-24,117.24
115-166,15.8
81-40,101
125-37,10.5
185-60,169.3
75-142,46.5
116-152,7.19
29-3101,20.03
185-88,104.07
86-75,102.63
28-85,85.2
37-81,7.72
17-150,26.06
17-69,25.48
41-18,20.26
75-110,19.76
40-166,5.76
152-193,21.77
85-74,368.96
11-149,25.81
139-127,7.57
37-54,44.35
68-74,67.94
146-29,25.2
26-156,13.59
131-104,14.56
70-24,91.54
29-127,43.34
171-127,99.35
130-3118,3.75
110-70,81
131-17,15.99
74-149,15.17
43-131,5.98
192-191,47.4
17-3117,9.17
111-69,33.39
81-103,349.88
35-24,7.9
75-41,5.76
40-165,4.43
24-88,72.68
129-29,34.42
64-139,45.67
185-142,2015.2
179-74,24.41
181-115,311.28
122-171,70.46
146-75,18.2
75-130,21.62
131-69,6.93
116-86,50.05
25-103,0.52
110-86,78.99
127-34,37.75
139-176,35.83
171-74,53.84
181-111,78.62
146-3102,9.96
163-166,1.38
68-146,34.72
43-115,6.92
114-29,54.72
16-20,103.93
35-116,1.08
125-107,23.12
176-116,120.36
66-29,60.98
145-127,15.88
156-3114,1.19
26-115,22.5
150-192,45.27
44-115,3.58
171-43,43.68
Nov-17,8.28
146-34,11.87
181-69,177.8
179-3065,3.41
68-176,98.83
75-76,25.65
142-146,233.11
191-111,20.26
24-18,334.59
145-3114,1.05
31-25,6.51
37-70,2.84
142-185,162.38
100-37,7.28
54-194,22.17
145-47,1.26
190-3117,12.77
37-60,2.89
130-66,21.55
190-131,3.71
110-3071,30.25
145-146,51.24
66-181,67.05
115-145,15.25
131-40,7.46
145-60,3.41
34-3117,1.34
37-129,5.27
85-17,725.57
Nov-24,4.81
122-107,300.09
17-20,150.91
193-24,15.41
116-177,5.58
125-24,17.57
191-127,78.85
191-20,52.3
177-41,5.01
192-136,5.29
60-185,18.01
35-100,15.14
185-37,361.44
116-64,20.39
70-142,255.01
114-3071,36.46
41-185,9.28
176-146,185.29
194-176,394.89
149-106,8.19
16-76,27.89
181-185,756.16
114-115,98.68
129-129,34.75
181-100,408.55
34-158,1.42
142-29,56.07
81-193,282.28
149-37,4.24
158-142,3.85
106-108,40.47
37-166,1.06
158-60,1.49
74-190,31.43
81-3024,209.08
179-11,9.83
193-150,49.86
75-3065,4.05
156-130,31.99
149-152,2.65
26-117,32.2
114-75,68.97
74-125,51.88
107-191,5.41
135-28,36.09
117-100,172.73
70-20,110.62
43-70,8.17
37-18,6.77
20-139,19.08
86-3117,67.1
145-26,5.67
27-88,1.28
106-81,42.78
100-152,44.79
116-110,18.55
44-107,3.87
114-11,28.51
142-88,160.37
37-115,3.52
31-16,184.4
110-26,15.29
145-74,5.51
166-129,6.43
103-114,139.4
41-110,1
106-104,15.61
41-142,10.67
158-111,0.86
129-104,6.07
18-37,8.36
177-117,17.35
25-122,0.72
127-68,102.22
136-3112,2.15
193-28,23.91
34-85,7.82
185-21,468.76
142-18,38.74
111-115,43.54
190-146,5.51
44-3117,5.64
179-17,21.2
150-31,145.61
20-11,46.74
20-34,32.43
86-88,303.58
81-85,301.16
146-68,30.86
192-176,45.4
136-181,10.39
70-176,324.11
127-41,53.39
152-3071,22.23
149-129,3.81
31-122,181.1
40-40,29.31
139-81,47.64
11-125,18.56
181-3101,1116.02
31-115,56.02
156-192,32.3
26-104,8.83
100-43,5.18
37-135,2.11
171-81,153.1
41-165,2.46
194-11,69.53
125-117,21.93
114-35,7.97
40-158,1.19
40-25,4.01
76-127,62.19
185-177,109.69
86-179,59.99
104-166,9.86
115-181,149.85
181-76,206.54
150-34,14.54
108-3118,41.25
156-29,37.35
191-28,96.24
16-116,11.45
43-165,2.38
122-75,142.3
17-88,34.95
192-156,18.26
60-103,50.23
194-64,90.46
68-166,20.94
115-110,42.92
129-171,7.28
88-21,192.97
17-3102,17.95
129-142,47.17
171-28,87.58
16-117,42.3
18-171,11.61
88-191,301.66
21-156,10.64
35-185,12.46
177-85,21.61
111-86,99.76
31-194,65.47
156-81,115.8
103-16,132.23
125-28,27.53
111-26,8.79
35-88,4.45
43-156,3.3
185-3024,788.3
29-177,15.18
185-103,164.01
156-158,42.41
194-130,42.54
28-69,68.72
81-3102,337.24
31-130,11.1
156-28,55.93
116-107,39.46
17-3081,3.64
88-163,37.07
177-3117,11.52
190-3024,6.29
131-129,23.43
41-66,10.13
150-70,71.54
85-25,14.55
21-116,14.64
127-3081,217.26
68-156,95.26
20-76,16.65
44-179,5.94
129-25,2.14
41-145,5.36
111-166,3.53
76-115,53.81
145-122,40.3
130-158,3.63
16-142,31.9
43-100,9.62
127-125,166.71
116-60,4.12
139-136,3.51
131-111,10.67
75-156,11.29
88-60,74.61
122-142,538.2
28-40,68.55
135-70,112.24
114-135,27.72
152-177,32.01
171-191,228.11
145-176,30.79
131-125,8.54
Nov-66,32.55
37-3112,1.5
176-110,80.17
66-194,27.17
37-176,9.45
190-3114,2.03
158-74,1.19
54-21,11.28
145-3117,5.03
69-122,30.55
152-86,22.22
110-193,7.93
149-85,8.83
47-181,1.19
35-11,7.03
149-3102,2.89
125-3117,45.99
69-139,2.16
18-185,18.27
75-125,9.86
127-115,688.9
111-47,1.42
88-37,74.35
110-76,29.65
136-176,13.37
40-163,0.79
75-158,2.21
111-117,24.84
26-150,15.3
171-152,123.34
145-139,18.63
31-3102,70.16
152-166,68.84
37-3071,3.79
26-20,58.92
136-75,1.55
185-129,188.34
191-16,97.37
171-3081,89.6
31-74,55.89
111-107,36.46
115-69,47.68
185-24,223.99
158-158,9.69
185-11,264.72
192-106,11.37
85-3117,491.52
35-3118,2.49
28-146,31.8
20-156,11.63
156-145,31.22
44-3114,1.02
135-16,54.35
66-17,31.58
106-3024,7.03
107-110,11.5
166-31,33.49
108-64,23.88
31-64,131.59
24-163,8.37
190-3112,6.63
103-64,63.68
192-47,0.51
24-131,9.4
193-29,23.15
66-69,37.88
149-192,2.08
54-11,11.98
88-29,396.19
142-158,45.48
194-3112,177.74
108-3117,47.33
166-127,5.43
125-177,6.01
176-149,682.59
127-3118,120.17
108-54,17.43
31-146,29.36
192-54,14.75
150-3118,41.74
20-108,19.6
104-110,14.03
111-165,3.08
108-24,27.03
135-31,52.43
117-163,7.71
111-176,86.41
26-194,39.49
31-139,21.98
107-194,10.7
131-127,15.08
81-142,171.04
28-139,15.92
107-29,18.92
28-111,8.38
103-125,44.2
166-149,6.14
76-194,53.1
152-88,54.88
129-20,13.96
193-145,11.23
Nov-75,39.63
69-115,34.08
145-130,67.09
54-150,9.69
135-25,4.43
26-125,9.04
100-117,123.57
136-29,3.2
18-47,1.4
171-76,50.65
68-75,68.45
24-158,11.2
104-116,3.29
177-181,43.4
193-129,4.15
35-131,1.22
177-69,9.64
129-3118,9.73
16-21,74.84
35-66,3.26
86-43,75.94
192-28,37.87
142-104,18.31
Nov-76,24.74
70-60,50.45
43-194,14.24
17-179,3.47
139-54,4
41-26,19.1
107-43,3.62
31-3065,24.01
127-35,64.9
146-26,8.04
20-44,22.6
81-130,151.9
44-29,5.78
88-158,61.9
70-193,108.64
158-20,2.12
171-115,95.81
142-130,64.5
81-127,192.14
107-11,9.13
27-21,1.09
110-3118,12.41
Nov-81,3.19
Nov-14,1.02
28-3102,46.96
28-3081,9.62
117-158,10.52
130-3101,20.84
70-44,26.5
60-18,112.22
171-165,71.94
136-136,27.98
74-150,46.51
16-177,6.88
103-75,49.1
117-191,61.14
130-20,13.87
193-110,11.27
166-3118,3.64
28-60,18.9
37-31,16.2
136-114,5.23
24-3112,23.88
37-88,3.04
69-88,47.39
43-130,3.94
117-152,23.99
74-191,29.59
149-76,4.32
115-185,217.68
70-21,450.45
76-111,24.94
29-24,72.08
117-115,173.79
31-129,17.5
66-171,19.16
177-88,38.7
191-26,27.57
110-66,13.24
125-43,16.1
192-34,4.08
34-18,13.41
177-149,13.21
130-81,10.13
26-107,16.65
Nov-85,87.1
181-54,203.16
193-3102,28.26
179-165,9.48
145-114,4.56
117-18,49.41
76-75,38.24
47-31,1.08
75-149,10.03
40-88,18.45
40-3065,8.27
88-179,155.75
130-142,181.35
194-76,111.51
104-179,27.38
26-116,10.19
158-122,1.44
114-108,68.16
171-171,273.9
145-125,5.29
44-135,3.22
149-110,3.77
11-117,62.91
43-185,11.17
69-29,19.55
31-165,17.72
150-88,81.22
110-192,13.69
27-103,1.65
179-29,10.67
176-35,200.32
176-166,871.28
66-3118,51.21
100-103,233.22
179-3102,33.34
31-193,28.48
150-26,31.68
37-171,6.91
16-24,62.12
100-21,149.09
142-3024,22.5
26-130,7.5
146-28,14.62
26-145,31.43
177-191,14.93
152-181,94.48
24-29,269.9
88-26,161.92
166-125,4.25
156-40,15.42
114-31,45.22
107-35,2.14
171-117,143.42
108-193,23.63
116-146,5.57
60-114,31.9
66-165,12.65
191-69,57.78
54-31,36.06
156-66,44.53
116-66,20.23
64-176,176.86
185-17,587
135-3117,16.85
142-110,42.84
171-142,293.38
44-100,5.41
20-37,20.06
194-117,68.08
139-142,50
107-3117,33.82
17-181,15.48
64-122,190.24
60-34,74.95
136-103,6.86
115-16,46.22
111-75,5
28-3071,43.29
64-3114,13.51
86-35,15.85
35-166,2.45
106-103,30.28
122-37,40.54
158-70,1.48
166-150,27.12
122-3117,103.22
108-146,21.66
176-181,2038.69
158-156,11.72
176-106,873
129-149,5.12
11-142,154.97
116-27,2.24
115-125,47.24
139-40,3.53
21-3118,7.74
29-21,30.96
130-88,23.76
64-108,76.32
64-28,163.05
85-69,314.23
122-158,13.66
136-44,2.72
108-108,115.4
176-104,440.34
103-3101,70.61
176-130,227.2
24-114,125.06
68-193,44.56
166-47,0.96
64-34,32.35
86-20,177.39
146-136,78.3
106-85,27.41
29-3065,5.81
111-179,5.31
Nov-34,28.19
44-114,1.49
44-146,2.74
54-135,12.33
24-190,46.46
158-117,1.34
86-86,899.3
146-129,30.3
108-3114,9.15
106-117,23.73
108-136,6.18
191-103,120.53
116-135,7.94
117-64,42.47
21-21,166.49
116-17,28.34
60-3024,39.15
104-60,3.56
34-37,23.55
54-117,7.8
41-81,30.33
86-177,76.9
142-122,276.59
146-177,36.24
54-145,8.68
145-3118,8.29
177-26,2.91
131-29,16.41
28-88,50.68
185-3112,482.78
179-88,18.89
176-3112,686.69
135-44,9.62
127-149,59.21
Nov-68,56.19
81-192,276.82
40-3117,33.75
21-27,1.93
21-158,1.11
166-76,9.01
191-158,31.32
24-28,235.52
107-166,1.68
17-47,3
31-190,24.49
193-35,4.3
24-60,32.49
44-60,0.66
142-106,36.02
27-100,3.51
18-181,25.11
66-27,1.2
181-127,376.68
31-166,11.81
163-152,16.34
177-3081,4.11
69-18,5.55
192-149,5
115-107,80.09
191-31,70.84
26-185,47.03
28-3065,15.64
145-3101,5.1
86-3071,203.81
185-149,242.4
116-35,2.15
107-171,5.64
44-3071,7.13
179-111,5.17
156-26,29.73
181-86,670.74
34-131,1.28
111-21,22.85
31-76,22.09
181-37,139.76
107-44,1.38
40-111,1.24
108-18,23.28
107-85,17.98
37-41,8.28
107-108,9.61
131-131,42.82
177-64,6.86
60-158,1.32
66-100,57.18
146-135,94.7
75-177,8.05
145-3065,0.81
149-69,4.11
116-117,58.95
11-179,12.68
44-3118,5.12
193-16,13.11
104-11,14.95
145-103,11.36
150-107,20.17
176-127,627.01
142-135,46.56
194-110,56.73
125-64,51.01
66-70,39.32
17-3112,16.04
177-122,17.54
34-25,2.67
29-76,25.79
104-41,18.41
64-100,83.68
177-179,18.81
75-37,5.89
88-100,959.66
100-64,113.37
185-108,205.39
117-3102,38.68
31-135,22.58
192-18,13.06
131-64,23.63
85-117,333.29
69-3114,6.99
88-152,258.88
41-149,2.33
194-21,160.75
193-171,18.52
156-111,10.07
41-139,3.96
68-69,62.9
130-18,10.84
24-106,58.06
31-17,199.37
41-127,3.7
100-158,2.87
28-165,14.65
21-34,14.68
68-3117,16.55
130-117,9.92
43-192,3.11
129-69,30.04
64-135,35.7
35-106,4.8
31-3081,6.39
166-185,12.59
68-190,47.22
21-181,9.62
106-35,1.44
100-76,101.53
28-176,77.18
166-108,4.26
41-114,11.58
127-131,41.76
28-25,10.47
86-192,91.4
100-177,3.97
85-54,96.82
69-69,119.12
107-16,9.1
185-29,681.96
146-3081,7.22
85-146,82.5
24-171,31.73
156-3024,7.61
35-64,2.84
41-24,22.15
158-16,4.34
135-103,71.94
179-25,0.67
20-129,5.81
69-60,4.46
107-31,8.03
115-74,35.99
106-66,10.98
100-192,24.92
35-69,3.61
110-103,39.67
40-35,28.23
146-110,14.59
Nov-74,51.18
177-3071,6.44
41-76,4.82
139-31,9.73
131-177,18.17
86-41,37.61
108-37,5.07
135-41,5.99
28-3101,23.8
116-181,25.94
85-115,409.9
81-177,123.65
100-35,3.96
152-171,34.2
165-156,24.88
117-3112,61.04
131-166,13.6
139-146,8.05
28-185,44.21
191-3118,17.11
108-86,148.53
145-20,11
156-136,11.55
150-18,37.05
31-192,31.38
179-20,16.52
